Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-20;Samedi;Soir;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;235
2017-05-20;Samedi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;743
2017-05-20;Samedi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;33
2017-05-20;Samedi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;183
2017-05-20;Samedi;Soir;Ville de Belfort;Zone FIMU;Resident;Periode normale;7847
2017-05-20;Samedi;Soir;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;100
2017-05-20;Samedi;Soir;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2639
2017-05-20;Samedi;Soir;Vosges;Zone FIMU;Touriste Français;Periode normale;23
2017-05-21;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;805
2017-05-21;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;35
2017-05-21;Dimanche;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;68
2017-05-21;Dimanche;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;82
2017-05-21;Dimanche;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;38
2017-05-21;Dimanche;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;41
2017-05-21;Dimanche;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;213
2017-05-21;Dimanche;Soir;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;21
2017-05-21;Dimanche;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;#
2017-05-21;Dimanche;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
