Date;JourDeLaSemaine;DureeVisite;CategorieVisiteurs;ZoneAnalyse;Volume
2016-05-02;Lundi;Duree2h;Touriste Français;All-FIMU;754
2016-05-02;Lundi;Duree2h;Touriste Etranger;All-FIMU;129
2016-05-02;Lundi;Duree3h;Résident ;All-FIMU;2561
2016-05-02;Lundi;Duree3h;Touriste Français;All-FIMU;521
2016-05-02;Lundi;Duree3h;Touriste Etranger;All-FIMU;171
2016-05-02;Lundi;Duree4h;Résident ;All-FIMU;1717
2016-05-02;Lundi;Duree4h;Touriste Français;All-FIMU;460
2016-05-02;Lundi;Duree4h;Touriste Etranger;All-FIMU;187
2016-05-02;Lundi;Duree5h;Résident ;All-FIMU;1131
2016-05-02;Lundi;Duree5h;Touriste Français;All-FIMU;293
2016-05-02;Lundi;Duree5h;Touriste Etranger;All-FIMU;35
2016-05-02;Lundi;Duree6h;Résident ;All-FIMU;1310
2016-05-02;Lundi;Duree6h;Touriste Français;All-FIMU;432
2016-05-02;Lundi;Duree6h;Touriste Etranger;All-FIMU;67
2016-05-02;Lundi;Duree7h;Résident ;All-FIMU;833
2016-05-02;Lundi;Duree7h;Touriste Français;All-FIMU;187
2016-05-02;Lundi;Duree7h;Touriste Etranger;All-FIMU;#
2016-05-02;Lundi;Duree8h;Résident ;All-FIMU;526
2016-05-02;Lundi;Duree8h;Touriste Français;All-FIMU;169
2016-05-02;Lundi;Duree8h;Touriste Etranger;All-FIMU;#
2016-05-02;Lundi;Duree9h;Résident ;All-FIMU;655
2016-05-02;Lundi;Duree9h;Touriste Français;All-FIMU;87
2016-05-02;Lundi;Duree9h;Touriste Etranger;All-FIMU;33
2016-05-02;Lundi;Duree10h;Résident ;All-FIMU;466
2016-05-02;Lundi;Duree10h;Touriste Français;All-FIMU;62
2016-05-02;Lundi;Duree10h;Touriste Etranger;All-FIMU;#
2016-05-02;Lundi;Duree10h-18h;Résident ;All-FIMU;1786
2016-05-02;Lundi;Duree10h-18h;Touriste Français;All-FIMU;306
2016-05-02;Lundi;Duree10h-18h;Touriste Etranger;All-FIMU;64
2016-05-03;Mardi;Duree1h;Résident ;All-FIMU;4750
2016-05-03;Mardi;Duree1h;Touriste Français;All-FIMU;1314
2016-05-03;Mardi;Duree1h;Touriste Etranger;All-FIMU;270
2016-05-03;Mardi;Duree2h;Résident ;All-FIMU;2534
2016-05-03;Mardi;Duree2h;Touriste Français;All-FIMU;894
2016-05-03;Mardi;Duree2h;Touriste Etranger;All-FIMU;170
2016-05-03;Mardi;Duree3h;Résident ;All-FIMU;2663
2016-05-03;Mardi;Duree3h;Touriste Français;All-FIMU;685
2016-05-03;Mardi;Duree3h;Touriste Etranger;All-FIMU;164
2016-05-03;Mardi;Duree4h;Résident ;All-FIMU;1947
2016-05-03;Mardi;Duree4h;Touriste Français;All-FIMU;604
2016-05-03;Mardi;Duree4h;Touriste Etranger;All-FIMU;261
2016-05-03;Mardi;Duree5h;Résident ;All-FIMU;1083
2016-05-03;Mardi;Duree5h;Touriste Français;All-FIMU;286
2016-05-03;Mardi;Duree5h;Touriste Etranger;All-FIMU;56
2016-05-03;Mardi;Duree6h;Résident ;All-FIMU;1510
2016-05-03;Mardi;Duree6h;Touriste Français;All-FIMU;453
2016-05-03;Mardi;Duree6h;Touriste Etranger;All-FIMU;46
2016-05-03;Mardi;Duree7h;Résident ;All-FIMU;1023
2016-05-03;Mardi;Duree7h;Touriste Français;All-FIMU;235
2016-05-03;Mardi;Duree7h;Touriste Etranger;All-FIMU;#
2016-05-03;Mardi;Duree8h;Résident ;All-FIMU;705
2016-05-03;Mardi;Duree8h;Touriste Français;All-FIMU;158
2016-05-03;Mardi;Duree8h;Touriste Etranger;All-FIMU;#
2016-05-03;Mardi;Duree9h;Résident ;All-FIMU;596
2016-05-03;Mardi;Duree9h;Touriste Français;All-FIMU;140
2016-05-03;Mardi;Duree9h;Touriste Etranger;All-FIMU;#
2016-05-03;Mardi;Duree10h;Résident ;All-FIMU;427
